Tid (t) [s],Temperatur målt (T_målt) [°C]
656.0,11.071549415588379
658.0,11.020102500915527
660.0,10.995972633361816
662.0,10.949299812316895
664.0,10.938029289245605
666.0,10.905817985534668
668.0,10.860696792602539
670.0,10.83489990234375
672.0,10.817158699035645
674.0,10.771979331970215
676.0,10.747764587402344
678.0,10.705770492553711
680.0,10.687996864318848
682.0,10.655668258666992
684.0,10.63464641571045
686.0,10.568305015563965
688.0,10.534300804138184
690.0,10.495416641235352
692.0,10.454889297485352
694.0,10.414338111877441
696.0,10.365643501281738
698.0,10.334785461425781
700.0,10.286033630371094
702.0,10.250259399414062
704.0,10.237245559692383
706.0,10.194933891296387
708.0,10.155853271484375
710.0,10.121639251708984
712.0,10.103710174560547
714.0,10.0645751953125
716.0,10.036840438842773
718.0,9.987869262695312
720.0,9.961735725402832
722.0,9.924150466918945
724.0,9.906167984008789
726.0,9.884908676147461
728.0,9.82272720336914
730.0,9.81126594543457
732.0,9.789976119995117
734.0,9.745735168457031
736.0,9.709665298461914
738.0,9.673574447631836
740.0,9.648956298828125
742.0,9.634180068969727
744.0,9.611188888549805
746.0,9.556962966918945
748.0,9.532299041748047
750.0,9.512561798095703
752.0,9.469775199890137
754.0,9.428606986999512
756.0,9.40554141998291
758.0,9.390708923339844
760.0,9.336294174194336
762.0,9.319795608520508
764.0,9.258712768554688
766.0,9.240540504455566
768.0,9.18764877319336
770.0,9.136366844177246
772.0,9.099947929382324
774.0,9.070134162902832
776.0,9.030360221862793
778.0,8.970651626586914
780.0,8.91752815246582
782.0,8.871007919311523
784.0,8.81114387512207
786.0,8.776195526123047
788.0,8.727901458740234
790.0,8.677901268005371
792.0,8.619515419006348
794.0,8.579446792602539
796.0,8.522636413574219
798.0,8.474139213562012
800.0,8.420578002929688
802.0,8.373672485351562
804.0,8.333438873291016
806.0,8.28310775756836
808.0,8.244492530822754
810.0,8.210892677307129
812.0,8.155410766601562
814.0,8.125125885009766
816.0,8.084722518920898
818.0,8.04092025756836
820.0,8.00551700592041
822.0,7.949840068817139
824.0,7.924514293670654
826.0,7.867069244384766
828.0,7.841707706451416
830.0,7.80787467956543
832.0,7.755394458770752
834.0,7.71303653717041
836.0,7.66725492477417
838.0,7.631621837615967
840.0,7.606155872344971
842.0,7.5653862953186035
844.0,7.529688835144043
846.0,7.48375940322876
848.0,7.427572727203369
850.0,7.407127380371094
852.0,7.374740123748779
854.0,7.326977252960205
856.0,7.297958850860596
858.0,7.2552571296691895
860.0,7.243294715881348
862.0,7.215942859649658
864.0,7.169755458831787
866.0,7.162909984588623
868.0,7.128668308258057
870.0,7.089263916015625
872.0,7.054976940155029
874.0,7.022384166717529
876.0,6.994922637939453
878.0,6.969165325164795
880.0,6.955422878265381
882.0,6.90557861328125
884.0,6.869455814361572
886.0,6.835031032562256
888.0,6.822977066040039
890.0,6.795415878295898
892.0,6.773011684417725
894.0,6.7368011474609375
896.0,6.700566291809082
898.0,6.679850101470947
900.0,6.634937286376953
902.0,6.605550765991211
904.0,6.593446254730225
906.0,6.567497730255127
908.0,6.53461217880249
910.0,6.5103678703308105
912.0,6.496509075164795
914.0,6.46011209487915
